date,squat
20151018,47.7
20151020,50
20151022,52.3
20151025,54.5
20151103,56.8
20151105,59.1
20151108,61.4
20151110,63.6
20151112,65.9
20151115,68.2
20151117,70.5
20151119,72.7
20151122,75
20151201,75
20151203,77.3
20151206,79.5
20151208,81.8
20151210,84.1
20151213,86.4
20151215,88.6
20151218,90.9
20151220,93.2
20151222,95.5
20151224,97.7
20160103,100
20160112,90.9
20160114,93.2
20160119,95.5
20160124,97.7
20160126,100
20160128,100
20160202,86
20160204,86
20160207,88
20160209,90
20160211,92
20160216,94
20160218,96
20160221,98
20160223,98
20160227,100
20160301,100
20160303,60
20160306,60
20160308,60
20160310,60
20160314,60
20160323,60
20160329,60
20160331,60
20160403,60
20160405,60
20160407,64
20160410,68
20160412,72
20160414,76
20160417,80
20160419,84
20160421,86
20160424,88
20160426,90
20160428,92
20160501,94
20160503,96
20160505,98
